,Display,Front_Camera,Name,Price,Rating,Rear_Camera,Storage
0,11.94 cm (4.7 inch),1.2MP,"Apple iPhone 6 (Gold, 32 GB)","₹21,999",4.4,8MP,32 GB ROM
1,11.94 cm (4.7 inch),7MP,"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)","₹59,990",4.7,12MP,64 GB ROM
2,11.94 cm (4.7 inch),5MP,"Apple iPhone 6s (Rose Gold, 32 GB)","₹27,999",4.5,12MP,32 GB ROM
3,11.94 cm (4.7 inch),5MP,"Apple iPhone 6s (Space Grey, 32 GB)","₹27,999",4.5,12MP,32 GB ROM
4,11.94 cm (4.7 inch),7MP,"Apple iPhone 7 (Black, 32 GB)","₹37,999",4.5,12MP,32 GB ROM
5,11.94 cm (4.7 inch),7MP,"Apple iPhone 7 (Rose Gold, 32 GB)","₹37,999",4.5,12MP,32 GB ROM
6,11.94 cm (4.7 inch),5MP,"Apple iPhone 6s (Gold, 32 GB)","₹27,999",4.4,12MP,32 GB ROM
7,13.97 cm (5.5 inch),5MP,"Apple iPhone 6s Plus (Gold, 32 GB)","₹33,999",4.4,12MP,32 GB ROM
8,11.94 cm (4.7 inch),7MP,"Apple iPhone 7 (Gold, 32 GB)","₹37,999",4.5,12MP,32 GB ROM
9,15.49 cm (6.1 inch),7MP,"Apple iPhone XR (Black, 64 GB)","₹67,999",4.6,12MP,64 GB ROM
10,15.49 cm (6.1 inch),7MP,"Apple iPhone XR (White, 64 GB)","₹67,999",4.6,12MP,64 GB ROM
11,15.49 cm (6.1 inch),7MP,"Apple iPhone XR (Coral, 64 GB)","₹67,999",4.6,12MP,64 GB ROM
12,11.94 cm (4.7 inch),7MP,"Apple iPhone 7 (Silver, 32 GB)","₹37,999",4.5,12MP,32 GB ROM
13,11.94 cm (4.7 inch),5MP,"Apple iPhone 6s (Silver, 32 GB)","₹27,999",4.4,12MP,32 GB ROM
14,15.49 cm (6.1 inch),7MP,"Apple iPhone XR (Blue, 64 GB)","₹67,999",4.6,12MP,64 GB ROM
15,15.49 cm (6.1 inch),7MP,"Apple iPhone XR (Black, 128 GB)","₹72,999",4.6,12MP,128 GB ROM
16,13.97 cm (5.5 inch),7MP,"Apple iPhone 7 Plus (Black, 32 GB)","₹48,999",4.6,12MP,32 GB ROM
17,13.97 cm (5.5 inch),5MP,"Apple iPhone 6s Plus (Space Grey, 32 GB)","₹33,999",4.5,12MP,32 GB ROM
18,13.97 cm (5.5 inch),7MP,"Apple iPhone 7 Plus (Gold, 32 GB)","₹48,999",4.6,12MP,32 GB ROM
19,13.97 cm (5.5 inch),5MP,"Apple iPhone 6s Plus (Rose Gold, 32 GB)","₹33,999",4.4,12MP,32 GB ROM
20,13.97 cm (5.5 inch),5MP,"Apple iPhone 6s Plus (Space Grey, 16 GB)","₹42,900",4.4,12MP,16 GB ROM
21,13.97 cm (5.5 inch),7MP,"Apple iPhone 8 Plus (Gold, 64 GB)","₹66,999",4.6,12MP,64 GB ROM
22,11.94 cm (4.7 inch),7MP,"Apple iPhone 8 (Space Grey, 64 GB)","₹56,999",4.5,12MP,64 GB ROM
